GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
0100000US,,United States,310M100US46540,46540,"United States - In metropolitan statistical area - Utica-Rome, NY Metro Area","Utica-Rome, NY Metro Area",299397,137561,2715.61,91.71,2623.90,114.1,52.4
0100000US,,United States,310M100US46660,46660,"United States - In metropolitan statistical area - Valdosta, GA Metro Area","Valdosta, GA Metro Area",139588,57434,1628.88,39.62,1589.27,87.8,36.1
0100000US,,United States,310M100US46700,46700,"United States - In metropolitan statistical area - Vallejo-Fairfield, CA Metro Area","Vallejo-Fairfield, CA Metro Area",413344,152698,906.19,84.43,821.76,503.0,185.8
0100000US,,United States,310M100US47020,47020,"United States - In metropolitan statistical area - Victoria, TX Metro Area","Victoria, TX Metro Area",115384,50537,2780.88,539.88,2241.00,51.5,22.6
0100000US,,United States,310M100US47220,47220,"United States - In metropolitan statistical area - Vineland-Millville-Bridgeton, NJ Metro Area","Vineland-Millville-Bridgeton, NJ Metro Area",156898,55834,677.62,193.92,483.70,324.4,115.4
0100000US,,United States,310M100US47260,47260,"United States - In metropolitan statistical area - Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1671683,686297,3897.63,1268.04,2629.59,635.7,261.0
0100000US,,United States,310M100US47300,47300,"United States - In metropolitan statistical area - Visalia-Porterville, CA Metro Area","Visalia-Porterville, CA Metro Area",442179,141696,4838.65,14.44,4824.21,91.7,29.4
0100000US,,United States,310M100US47380,47380,"United States - In metropolitan statistical area - Waco, TX Metro Area","Waco, TX Metro Area",234906,95124,1060.23,23.13,1037.10,226.5,91.7
0100000US,,United States,310M100US47580,47580,"United States - In metropolitan statistical area - Warner Robins, GA Metro Area","Warner Robins, GA Metro Area",139900,58325,379.92,4.38,375.54,372.5,155.3
0100000US,,United States,310M100US47900,47900,"United States - In metropolitan statistical area - Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5582170,2213752,6030.38,432.06,5598.32,997.1,395.4
0100000US,,United States,310M100US47940,47940,"United States - In metropolitan statistical area - Waterloo-Cedar Falls, IA Metro Area","Waterloo-Cedar Falls, IA Metro Area",167819,71332,1513.98,10.88,1503.10,111.6,47.5
0100000US,,United States,310M100US48140,48140,"United States - In metropolitan statistical area - Wausau, WI Metro Area","Wausau, WI Metro Area",134063,57734,1576.31,31.33,1544.98,86.8,37.4
0100000US,,United States,310M100US48300,48300,"United States - In metropolitan statistical area - Wenatchee-East Wenatchee, WA Metro Area","Wenatchee-East Wenatchee, WA Metro Area",110884,51469,4842.54,102.75,4739.79,23.4,10.9
0100000US,,United States,310M100US48540,48540,"United States - In metropolitan statistical area - Wheeling, WV-OH Metro Area","Wheeling, WV-OH Metro Area",147950,69542,962.45,19.07,943.38,156.8,73.7
0100000US,,United States,310M100US48620,48620,"United States - In metropolitan statistical area - Wichita, KS Metro Area","Wichita, KS Metro Area",623061,263043,4181.33,32.26,4149.07,150.2,63.4
0100000US,,United States,310M100US48660,48660,"United States - In metropolitan statistical area - Wichita Falls, TX Metro Area","Wichita Falls, TX Metro Area",151306,64823,2675.29,55.68,2619.61,57.8,24.7
0100000US,,United States,310M100US48700,48700,"United States - In metropolitan statistical area - Williamsport, PA Metro Area","Williamsport, PA Metro Area",116111,52500,1243.84,15.24,1228.59,94.5,42.7
0100000US,,United States,310M100US48900,48900,"United States - In metropolitan statistical area - Wilmington, NC Metro Area","Wilmington, NC Metro Area",362315,205642,2310.81,402.51,1908.30,189.9,107.8
0100000US,,United States,310M100US49020,49020,"United States - In metropolitan statistical area - Winchester, VA-WV Metro Area","Winchester, VA-WV Metro Area",128472,56906,1069.39,6.41,1062.98,120.9,53.5
0100000US,,United States,310M100US49180,49180,"United States - In metropolitan statistical area - Winston-Salem, NC Metro Area","Winston-Salem, NC Metro Area",477717,214375,1472.92,16.98,1455.94,328.1,147.2
0100000US,,United States,310M100US49340,49340,"United States - In metropolitan statistical area - Worcester, MA Metro Area","Worcester, MA Metro Area",798552,326788,1579.19,68.42,1510.77,528.6,216.3
0100000US,,United States,310M100US49420,49420,"United States - In metropolitan statistical area - Yakima, WA Metro Area","Yakima, WA Metro Area",243231,85474,4311.28,15.88,4295.40,56.6,19.9
0100000US,,United States,310M100US49620,49620,"United States - In metropolitan statistical area - York-Hanover, PA Metro Area","York-Hanover, PA Metro Area",434972,178671,910.72,6.54,904.18,481.1,197.6
0100000US,,United States,310M100US49660,49660,"United States - In metropolitan statistical area - Youngstown-Warren-Boardman, OH-PA Metro Area","Youngstown-Warren-Boardman, OH-PA Metro Area",565773,259729,1744.46,41.96,1702.49,332.3,152.6
0100000US,,United States,310M100US49700,49700,"United States - In metropolitan statistical area - Yuba City, CA Metro Area","Yuba City, CA Metro Area",166892,61493,1252.30,18.05,1234.25,135.2,49.8
0100000US,,United States,310M100US49740,49740,"United States - In metropolitan statistical area - Yuma, AZ Metro Area","Yuma, AZ Metro Area",195751,87850,5519.11,5.12,5513.99,35.5,15.9
0100000US,,United States,0400000US72,72,Puerto Rico,Puerto Rico,3725789(r49850),1636946(r25701),5324.84,1901.07,3423.78,1088.2,478.1
0100000US,,United States,04000C0US72,72,Puerto Rico - In metropolitan statistical area,In metropolitan statistical area,3534375,1553546,4313.10,1440.85,2872.25,1230.5,540.9
0100000US,,United States,310M100US10380,10380,"Puerto Rico - In metropolitan statistical area - Aguadilla-Isabela-San Sebastián, PR Metro Area","Aguadilla-Isabela-San Sebastián, PR Metro Area",306292,138855,495.53,137.05,358.47,854.4,387.4
0100000US,,United States,310M100US21940,21940,"Puerto Rico - In metropolitan statistical area - Fajardo, PR Metro Area","Fajardo, PR Metro Area",70692,38114,310.69,225.98,84.71,834.5,449.9
0100000US,,United States,310M100US25020,25020,"Puerto Rico - In metropolitan statistical area - Guayama, PR Metro Area","Guayama, PR Metro Area",84214,37946,217.77,91.07,126.70,664.7,299.5
0100000US,,United States,310M100US32420,32420,"Puerto Rico - In metropolitan statistical area - Mayagüez, PR Metro Area","Mayagüez, PR Metro Area",106330,50608,285.43,196.44,88.99,1194.9,568.7
0100000US,,United States,310M100US38660,38660,"Puerto Rico - In metropolitan statistical area - Ponce, PR Metro Area","Ponce, PR Metro Area",243147,99359,337.76,127.09,210.68,1154.1,471.6
0100000US,,United States,310M100US41900,41900,"Puerto Rico - In metropolitan statistical area - San Germán-Cabo Rojo, PR Metro Area","San Germán-Cabo Rojo, PR Metro Area",137462,69481,368.90,148.24,220.66,623.0,314.9
0100000US,,United States,310M100US41980,41980,"Puerto Rico - In metropolitan statistical area - San Juan-Caguas-Guaynabo, PR Metro Area","San Juan-Caguas-Guaynabo, PR Metro Area",2478905,1073552,2016.62,426.71,1589.91,1559.1,675.2
0100000US,,United States,310M100US49500,49500,"Puerto Rico - In metropolitan statistical area - Yauco, PR Metro Area","Yauco, PR Metro Area",107333,45631,280.39,88.26,192.13,558.6,237.5
